                           1                            2                            3                            4                            5                            6                            7 
              version_number                     compiler                        build             MESA_SDK_version                         date                    burn_min1                    burn_min2 
                       11554                   "gfortran"                      "8.3.0" "x86_64-osx-10.12-10.14-2019                   "20190422"      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30 
                            model_number                                 star_age                             star_age_day                                rsp_phase                                rsp_GREKM                        rsp_GREKM_avg_abs                               rsp_DeltaR                             rsp_DeltaMag                       rsp_period_in_days                          rsp_num_periods                               log_dt_sec                                   radius                                    log_R                              v_surf_km_s                      v_surf_div_escape_v                        v_div_csound_surf                         v_div_csound_max                         max_abs_v_div_cs                     dt_div_min_dr_div_cs                               luminosity                                    log_L                              effective_T                                    log_g                                 log_Teff                            photosphere_L                            photosphere_r                            photosphere_T                       photosphere_v_km_s                     photosphere_v_div_cs                              num_retries 
                                       1                  1.5540942241735953E-007                  5.6764280805252830E-005                  1.9999999999999998E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8382140402626415E+000                                        0                  6.9058888225932069E-001                  3.4713806091202336E+001                  1.5405022331985314E+000                  9.9999999999999867E-002                  4.6739661127157342E-004                  1.3550496867271531E-002                  1.3550496867275190E-002                  1.3550496867275190E-002                  2.3419051527406292E-002                  1.4387994884272050E+003                  3.1580002747307927E+000                  6.0468396848969951E+003                  1.9764999103909746E+000                  3.7815284546506684E+000                  1.4388017402292726E+003                  3.4479905890677550E+001                  6.0468396638211934E+003                  9.3623787183160542E-002                  1.1991229147926035E-002                                        0 
                                      10                  4.0342237937417617E-006                  1.4735259207398611E-003                  5.1917364223999984E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8382140402626415E+000                                        0                  1.4032200966879438E+000                  3.4713823679075048E+001                  1.5405024532353120E+000                  9.9999720631545178E-002                  4.6739542391661113E-004                  1.3550459739548385E-002                  1.3550459739548345E-002                  1.3550459739548345E-002                  1.2083747500116856E-001                  1.4388005548133538E+003                  3.1580005966140376E+000                  6.0468425418939405E+003                  1.9764999103909746E+000                  3.7815286598450810E+000                  1.4388108012939547E+003                  3.4479922252069230E+001                  6.0468425208178924E+003                  9.3642905904156110E-002                  1.1993679113614250E-002                                        0 
                                      20                  2.9013074193565322E-005                  1.0597210033535351E-002                  3.7337599924474729E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8382140402626415E+000                                        0                  2.1950325571641920E+000                  3.4713936936280263E+001                  1.5405038701607270E+000                  9.9987476377655121E-002                  4.6733895704175068E-004                  1.3548798060633315E-002                  1.3548798060636049E-002                  1.3548798060636049E-002                  7.4820633319917262E-001                  1.4388189068389788E+003                  3.1580061360424208E+000                  6.0468520360361144E+003                  1.9764999103909746E+000                  3.7815293417299309E+000                  1.4388268985961840E+003                  3.4480028397324716E+001                  6.0468520149588376E+003                  9.3937779336720706E-002                  1.2031443708322662E-002                                        0 
                                      30                  1.3810423354242661E-004                  5.0443450411542405E-002                  1.7772954997740228E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8382140402626415E+000                                        0                  2.6114076362116956E+000                  3.4714430992257476E+001                  1.5405100510862206E+000                  9.9705806097212676E-002                  4.6602575346723523E-004                  1.3510661878857995E-002                  1.3510661878856141E-002                  1.3510661878856141E-002                  1.9515565132193406E+000                  1.4388310536857502E+003                  3.1580098024428502E+000                  6.0468263074108718E+003                  1.9764999103909746E+000                  3.7815274938554211E+000                  1.4388370656490747E+003                  3.4480486945604255E+001                  6.0468262863288019E+003                  9.3658782619027312E-002                  1.1995810162699287E-002                                        0 
                                      40                  2.6761208555689292E-004                  9.7747017749253096E-002                  3.4439621664406894E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8382140402626415E+000                                        0                  2.6114076362116956E+000                  3.4715014274573029E+001                  1.5405173481714867E+000                  9.8855271730116448E-002                  4.6205423061475433E-004                  1.3395469819751512E-002                  1.3395469819748733E-002                  1.3395469819748733E-002                  1.9514371093904288E+000                  1.4388084498953208E+003                  3.1580029796970255E+000                  6.0467639388283569E+003                  1.9764999103909746E+000                  3.7815230144029708E+000                  1.4388174720668344E+003                  3.4481020532726276E+001                  6.0467639177397350E+003                  9.2194897351251706E-002                  1.1808523414702144E-002                                        0 
                                      50                  3.9711993757135923E-004                  1.4505058508696381E-001                  5.1106288331073564E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8382140402626415E+000                                        0                  2.6114076362116956E+000                  3.4715590918977895E+001                  1.5405245620934267E+000                  9.7447877659180712E-002                  4.5547978684457242E-004                  1.3204811548384618E-002                  1.3204811548384120E-002                  1.3204811548384120E-002                  1.9514369284344941E+000                  1.4387964965587785E+003                  3.1579993716492236E+000                  6.0467127029626681E+003                  1.9764999103909746E+000                  3.7815193344928169E+000                  1.4388055224953580E+003                  3.4481545045544507E+001                  6.0467126818671913E+003                  9.0485655480843710E-002                  1.1589781598469301E-002                                        0 
                                      60                  5.2662778958582554E-004                  1.9235415242467446E-001                  6.7772954997740234E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8382140402626415E+000                                        0                  2.6114076362116956E+000                  3.4716157720592818E+001                  1.5405316527635748E+000                  9.5511177971340233E-002                  4.4643112982470368E-004                  1.2942424105735324E-002                  1.2942424105731782E-002                  1.2942424105731782E-002                  1.9515097789430129E+000                  1.4387870580437786E+003                  3.1579965226650648E+000                  6.0466634816837077E+003                  1.9764999103909746E+000                  3.7815157992468249E+000                  1.4387944126644638E+003                  3.4482059884075397E+001                  6.0466634605821773E+003                  8.8482084945888578E-002                  1.1333308496233660E-002                                        0 
                                      70                  6.5613564160029131E-004                  2.3965771976238495E-001                  8.4439621664406828E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8382140402626415E+000                                        0                  2.6114076362116956E+000                  3.4716711877444325E+001                  1.5405385851362137E+000                  9.3176336489986980E-002                  4.3552126619164893E-004                  1.2626082923910454E-002                  1.2626082923909578E-002                  1.2626082923909578E-002                  1.9515984304025524E+000                  1.4387708326368327E+003                  3.1579916250366096E+000                  6.0466075660014585E+003                  1.9764999103909746E+000                  3.7815117831502438E+000                  1.4387764938888852E+003                  3.4482562059933123E+001                  6.0466075448955862E+003                  8.6003604640381023E-002                  1.1015992294743650E-002                                        0 
                                      80                  7.8564349361475697E-004                  2.8696128710009544E-001                  1.0110628833107342E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.8382140402626415E+000                                        0                  2.6114076362116956E+000                  3.4717251391941737E+001                  1.5405453342301183E+000                  9.0477475197889401E-002                  4.2290963809660394E-004                  1.2260422538750005E-002                  1.2260422538754132E-002                  1.2260422538754132E-002                  1.9516819569237083E+000                  1.4387435018193448E+003                  3.1579833751223840E+000                  6.0465420492659359E+003                  1.9764999103909746E+000                  3.7815070774188810E+000                  1.4387480988584718E+003                  3.4483047580219747E+001                  6.0465420281540200E+003                  8.2933017276006507E-002                  1.0622832593665964E-002                                        0 
